num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
17903	495205.502939	87.485058	-8.472399	-1.588875	23.805179
17905	495207.585895	86.398698	7.235088	-1.565614	23.331063
17907	495209.666301	87.918230	-4.366332	-1.569023	24.983317
17909	495211.748833	86.355809	7.731729	-1.562912	22.920799
17911	495213.830464	88.977372	-5.238236	-1.575368	22.683238
17913	495215.914314	87.499738	8.073776	4.708705	21.986762
17915	495217.995517	88.281242	-6.711702	4.699967	24.456585
17917	495220.078443	88.682071	-8.409770	4.695517	22.195467
17919	495222.161103	89.283498	-10.753324	4.682222	23.110448
17921	495224.246169	88.423409	-6.478785	4.697905	22.068520
17923	495226.330381	88.058621	-6.479155	4.698950	22.842610
17925	495228.415166	87.777534	-6.676899	4.693720	22.574261
17927	495230.498444	86.898553	7.602954	4.705723	22.899762
17929	495232.578778	85.988558	7.556528	4.696145	22.943986
17931	495234.657375	85.789254	-6.169578	4.679227	22.647630
17933	495236.735388	84.838902	-7.593578	4.665936	23.657133
17935	495238.817698	85.336496	-8.504204	4.669439	21.945120
17937	495240.901569	87.064914	-6.346728	4.683376	22.690672
17939	495242.986040	86.292373	-5.850106	4.689063	22.456820
17941	495245.070991	87.590718	-5.195874	4.685422	22.269167
17943	495247.154893	86.648517	7.165176	4.695898	22.076130
17945	495249.238406	86.622004	-8.002064	4.667181	22.934428
17947	495251.319783	87.674622	-8.419987	4.682569	22.505576
17949	495253.401325	86.893532	-6.303133	4.683020	21.579735
17951	495255.482635	87.116765	-7.787042	4.681517	22.355961
17953	495257.564649	85.014858	-6.856288	4.652801	22.002096
17955	495259.646691	82.438061	-7.594681	4.665135	22.518550
17957	495261.729424	88.962805	-8.226181	4.663382	21.304780
17959	495263.811868	86.127420	-4.909725	4.676895	22.383185
17961	495265.894903	85.556914	-5.145071	4.677506	21.577337
17963	495267.977458	85.014152	-4.818021	4.676013	21.952437
17965	495270.059307	85.310964	-6.083310	4.665161	21.804461
17967	495272.140468	85.946852	-7.210483	4.666456	20.824816
17969	495274.221072	86.191397	-7.779930	4.648472	22.109097
17971	495276.301221	84.259811	7.350363	4.677826	21.274335
17973	495278.380027	85.288419	-7.478603	4.656130	21.470564
17975	495280.460539	85.419111	-6.097520	4.674112	20.759194
17977	495282.542246	84.985572	-7.734512	4.673036	21.068625
17979	495284.626183	82.073395	-7.800529	4.635238	21.639306
17981	495286.710006	84.078682	-5.039963	4.665575	20.296517
17983	495288.796659	83.351811	6.735446	4.666642	22.842268
17985	495290.880266	84.862577	-4.613728	4.662496	22.549232
17987	495292.962571	82.823620	6.945684	4.668745	21.628245
17989	495295.043549	84.921760	-7.048716	4.659575	20.901327
17991	495297.125163	84.918117	-7.157174	4.657060	21.100620
17993	495299.206810	84.390097	-5.955553	4.658988	21.106854
17995	495301.289041	84.289159	-6.728493	4.659638	20.886511
17997	495303.371407	85.176432	-8.394596	4.645099	20.337393
17999	495305.454857	83.134294	6.781996	4.668612	20.774533
18001	495307.538136	84.710605	-5.726691	4.653707	21.439144
18003	495309.620692	84.594960	-5.244690	4.653173	20.839301
18005	495311.700798	83.811534	-5.712589	4.656222	20.299466
18007	495313.780911	97.364707	-0.718645	4.611745	20.244587
18009	495315.859710	82.599744	-7.030799	4.643029	21.010567
18011	495317.939329	83.084764	-5.811232	4.644476	20.336464
18013	495320.020458	79.783769	-7.520947	4.631434	20.736113
18015	495322.103278	82.917885	-5.744630	4.645932	19.737237
18017	495324.186917	80.535595	-9.269057	4.628703	20.258245
18019	495326.270556	82.200817	-5.654430	4.641280	20.319573
18021	495328.354103	90.210810	-3.130832	4.614115	19.559651
18023	495330.437750	84.411794	-6.533496	4.640199	19.912057
18025	495332.520722	82.067501	-5.698766	4.646980	20.195703
18027	495334.602914	81.636922	-9.177908	4.620705	20.026624
18029	495336.685151	82.218671	-4.637511	4.644591	19.473710
18031	495338.767695	81.181341	6.527529	4.647975	19.946208
18033	495340.849700	84.324834	-6.705907	4.633507	20.165344
18035	495342.931159	81.688180	-7.649656	4.619993	19.187947
18037	495345.012425	82.130737	-5.690492	4.640352	19.308315
18039	495347.093828	83.068485	-5.858107	4.633700	19.877677
18041	495349.174493	80.042499	6.598171	4.646981	20.202643
18043	495351.254769	81.690163	-6.941199	4.619463	18.995158
18045	495353.335336	81.640305	-5.713880	4.638719	19.464866
18047	495355.415817	86.530669	-8.648887	4.627473	19.039984
18049	495357.497004	81.556244	6.663294	4.643481	19.343228
18051	495359.579826	80.898545	-5.421693	4.629836	18.908209
18053	495361.664439	80.802024	-7.033881	4.633481	19.347387
18055	495363.749317	80.591851	-5.594513	4.632280	19.641300
18057	495365.834070	80.359008	-6.905257	4.626482	19.266956
18059	495367.917272	80.757149	-5.622552	4.623180	19.193345
18061	495369.999930	81.716296	-6.968149	4.625609	19.437802
18063	495372.081630	79.886095	-6.621581	4.604516	18.857229
18065	495374.163777	81.326756	-6.929499	4.614843	17.994972
18067	495376.245502	80.128737	-5.690072	4.621374	18.544624
18069	495378.327885	80.394499	-5.476078	4.625625	19.264651
18071	495380.410137	86.465481	-7.319411	4.599646	18.272922
18073	495382.491891	80.561392	-4.986515	4.621012	18.606476
18075	495384.573375	78.323305	6.572873	4.626746	18.597019
18077	495386.653358	79.674522	6.422898	4.622600	18.381488
18079	495388.732955	77.829226	6.557090	4.620201	18.196543
18081	495390.812109	80.582800	-6.652263	4.614517	18.482176
18083	495392.891986	79.598692	-6.860880	4.609688	18.289924
18085	495394.973508	78.755510	-5.516690	4.612680	18.183153
18087	495397.056249	79.165130	-4.589349	4.613899	18.463340
18089	495399.139019	80.421964	-4.987691	4.614560	18.328059
18091	495401.221811	79.052278	-5.476778	4.614293	18.452824
18093	495403.305127	78.437434	-5.627383	4.610251	17.844046
18095	495405.387392	77.324893	6.291934	4.617697	18.324823
18097	495407.469651	79.132655	-5.605970	4.615991	18.180098
18099	495409.551290	78.691755	-5.755545	4.603916	17.881769
18101	495411.632818	78.397578	-5.499032	4.611239	17.536900
18103	495413.714059	77.987593	-5.550741	4.611330	18.428234
18105	495415.794745	77.290764	-6.408270	4.612565	17.840060
18107	495417.875907	77.510653	-9.010629	4.576013	17.731855
18109	495419.957672	78.991340	-6.111610	4.608683	17.045698
18111	495422.039737	77.923719	-5.792384	4.602629	17.379257
18113	495424.122917	79.259126	-6.466824	4.607285	17.729220
18115	495426.208138	82.928419	-4.342567	4.581739	17.433412
18117	495428.292653	76.646109	6.987001	4.608634	17.504216
18119	495430.376782	78.586507	-6.408459	4.603005	18.203761
18121	495432.459929	76.850022	-6.425415	4.574124	17.493286
18123	495434.542154	76.782098	-5.424120	4.597574	16.960965
18125	495436.624513	78.728608	-5.759241	4.594344	17.776438
18127	495438.706539	77.123090	6.302792	4.601356	17.348096
18129	495440.787861	76.540506	6.429630	4.607981	17.008436
18131	495442.869982	76.350927	7.291970	4.610369	17.999190
18133	495444.951882	76.484983	-5.327766	4.595865	16.877753
18135	495447.032930	84.198261	-2.908598	4.564053	17.195258
18137	495449.112982	76.788007	-5.346273	4.596692	16.916835
18139	495451.192361	76.962312	-6.690761	4.590989	17.504886
18141	495453.272009	76.314373	-6.753485	4.590397	17.189729
18143	495455.351852	76.361171	-5.525219	4.589516	16.759279
18145	495457.433067	70.653319	-7.203455	4.566188	16.735668
18147	495459.514964	76.685074	-4.595360	4.588928	16.378847
18149	495461.597133	75.088459	-5.418947	4.583863	16.827104
18151	495463.679654	75.286594	-6.255133	4.587964	16.844670
18153	495465.762071	90.714578	-3.244473	4.549724	16.992263
18155	495467.844214	75.365701	-4.711231	4.586358	17.258998
18157	495469.925777	76.350716	-4.872284	4.588276	16.739156
18159	495472.007655	75.708103	-4.647564	4.587279	17.094918
18161	495474.088864	75.977914	6.870118	4.593338	16.689220
18163	495476.170198	75.601387	-5.262889	4.580559	16.605507
18165	495478.251937	76.108542	6.985422	4.587921	16.340764
18167	495480.334635	76.117197	-4.454052	4.582466	16.305227
18169	495482.418226	74.514118	-5.253514	4.581392	16.376534
18171	495484.502517	71.135172	-5.702586	4.555661	16.783762
18173	495486.586903	75.764768	-6.447976	4.581400	16.462959
18175	495488.670926	74.131601	-5.541399	4.571658	16.021919
18177	495490.754219	74.235481	-5.433836	4.574771	16.582005
18179	495492.836938	77.461954	-6.894275	4.542762	16.076310
18181	495494.918817	75.671508	-6.192528	4.572823	16.010458
18183	495497.001209	74.155836	-5.547942	4.575163	16.433390
18185	495499.082777	73.859926	-5.505779	4.577102	16.189786
18187	495501.164852	71.802861	-6.118292	4.550197	15.986434
18189	495503.246091	73.980366	5.844939	4.574848	16.245341
18191	495505.326717	73.695721	6.176122	4.568617	15.799248
18193	495507.406013	74.137379	-5.445327	4.572680	15.701839
18195	495509.485691	75.360104	-5.715760	4.563891	16.274695
18197	495511.565109	74.041688	-5.557037	4.569688	15.527371
18199	495513.645715	72.615539	-5.532524	4.564652	15.192738
18201	495515.727105	73.332370	-6.377356	4.563803	15.469249
18203	495517.808736	77.169672	-8.662667	4.555613	15.100513
18205	495519.890910	74.080235	-6.220945	4.566393	15.580079
18207	495521.972989	73.277660	-5.639990	4.560482	15.485973
