time (s)	coil I (A)	last det (V)	int current (uC)
496327.200077	0.361495	370.019531	91.601562
496327.202079	0.400677	370.019531	91.601562
496327.204080	0.399436	4.393797	0.000940
496328.250157	0.402748	-92.968750	-149.804687
496328.252159	0.401453	4.415980	0.211002
496329.300183	0.398885	414.648437	77.050781
496329.302184	0.398851	4.387364	-0.010721
496330.344207	1.659851	-98.730469	-153.515625
496330.349641	0.400227	-98.730469	-153.515625
496330.351642	0.399532	4.394852	0.000379
496331.362176	0.393373	400.976562	85.839844
496331.364176	0.399428	400.976562	85.839844
496331.366178	0.398410	4.382507	-0.017938
496332.446221	0.399397	-95.898437	-157.324219
496332.448222	0.398543	4.383978	0.001828
496333.426761	0.399370	381.738281	95.605469
496333.428769	0.400924	4.410166	-0.012682
496334.507275	0.355755	-101.464844	-184.570312
496334.509277	0.400188	-101.464844	-184.570312
496334.511279	0.398922	4.388144	0.006235
496335.523303	0.373084	365.625000	100.488281
496335.525306	0.376030	365.625000	100.488281
496335.527305	0.398464	4.383101	-0.014253
496336.605381	0.402248	-91.308594	-170.703125
496336.609381	0.401528	4.416804	-0.001909
496337.619940	0.323722	350.000000	103.515625
496337.621943	0.400535	350.000000	103.515625
496337.623943	0.399185	4.391033	-0.013931
496338.669950	0.401286	-90.722656	-175.781250
496338.671953	0.400282	4.403103	0.000988
496339.685997	0.401578	319.238281	117.089844
496339.687998	0.400181	4.401986	0.098165
496340.766977	0.399501	-85.937500	-164.453125
496340.768978	0.398995	4.388950	-0.004976
496341.783028	0.401962	339.550781	105.175781
496341.785029	0.400707	4.407783	0.000684
496342.831012	0.395178	-89.062500	-173.144531
496342.833013	0.400135	-89.062500	-173.144531
496342.835014	0.399157	4.390723	-0.001107
496343.847515	0.401832	321.386719	116.796875
496343.849516	0.400492	4.405416	0.093497
496344.927574	0.362300	-89.941406	-172.949219
496344.929574	0.400285	-89.941406	-172.949219
496344.931579	0.399064	4.389703	-0.003261
496345.944519	0.401315	344.531250	104.492187
496345.946521	0.400192	4.402111	-0.012746
496346.992521	0.394369	-100.195312	-192.871094
496346.994524	0.399743	-100.195312	-192.871094
496346.996524	0.398709	4.385795	0.005936
496348.008547	0.398900	351.464844	106.835937
496348.010549	0.400051	4.400559	-0.010992
496349.090541	0.401187	-96.875000	-174.023437
496349.094540	0.399006	4.389065	0.004484
496350.105110	0.376244	371.875000	98.730469
496350.107110	0.400274	371.875000	98.730469
496350.109111	0.399157	4.390731	-0.019199
496351.188054	0.400951	-93.652344	-152.050781
496351.190056	0.399721	4.396935	0.002293
496352.170080	0.401267	379.101562	93.359375
496352.172082	0.402270	4.424966	-0.012703
496353.252095	0.402552	-104.101562	-159.765625
496353.254097	0.401224	4.413463	0.231483
496354.270089	0.399729	401.171875	80.273437
496354.272092	0.399002	4.389021	-0.011654
496355.314560	0.310703	-100.683594	-151.660156
496355.316562	0.400697	-100.683594	-151.660156
496355.318559	0.399352	4.392867	0.007407
496356.366598	0.401749	384.277344	86.425781
496356.368600	0.400905	4.409954	-0.008663
496357.415136	0.400187	-89.843750	-146.093750
496357.417138	0.399294	4.392229	-0.009805
496358.429683	0.400694	330.957031	102.636719
496358.431684	0.399417	4.393585	0.007580
496359.477659	0.400938	-87.695312	-164.648437
496359.479661	0.399844	4.398282	-0.007048
496360.525641	0.392502	324.902344	108.886719
496360.527643	0.400150	324.902344	108.886719
496360.529642	0.399120	4.390324	-0.002815
496361.573673	0.357687	-88.867187	-168.652344
496361.575680	0.400078	-88.867187	-168.652344
496361.577686	0.398910	4.388011	-0.001555
496362.590587	0.400857	335.742187	112.207031
496362.592590	0.399804	4.397839	-0.009986
496363.670611	0.335685	-96.386719	-163.769531
496363.672612	0.400781	-96.386719	-163.769531
496363.674612	0.399518	4.394702	0.005502
496364.654668	0.397990	361.914062	98.437500
496364.656669	0.399414	4.393559	-0.010008
496365.734709	0.300552	-104.003906	-155.957031
496365.736711	0.400898	-104.003906	-155.957031
496365.738712	0.399489	4.394373	0.014792
496366.754743	0.400394	363.964844	89.746094
496366.756746	0.399803	4.397830	0.401232
496367.833747	0.402463	-90.820312	-135.058594
496367.835750	0.401128	4.412409	0.131216
496368.847805	0.317475	351.953125	95.800781
496368.849805	0.400565	351.953125	95.800781
496368.851806	0.399151	4.390660	0.000512
496369.899842	0.400607	-86.914062	-150.683594
496369.901845	0.399766	4.397422	-0.009109
496370.945909	0.393831	326.855469	107.421875
496370.947910	0.400239	326.855469	107.421875
496370.949910	0.399239	4.391626	-0.000509
496371.963941	0.400329	-91.406250	-178.027344
496371.965943	0.399441	4.393851	0.001864
496373.011938	0.400119	316.113281	115.722656
496373.013938	0.399048	4.389526	-0.003732
496374.059977	0.401911	-98.730469	-189.453125
496374.061978	0.400648	4.407126	0.366382
496375.074046	0.354487	329.199219	116.015625
496375.076048	0.399820	329.199219	116.015625
496375.078050	0.398599	4.384590	-0.007210
496376.156074	0.395227	-95.214844	-163.476562
496376.158076	0.399898	-95.214844	-163.476562
496376.160074	0.398858	4.387434	0.007624
496377.174984	0.399378	362.890625	101.171875
496377.176985	0.398643	4.385068	-0.015016
496378.253510	0.399509	-93.652344	-145.800781
496378.255511	0.399456	4.394019	0.003992
496379.235496	0.346046	369.238281	97.851562
496379.237499	0.399899	369.238281	97.851562
496379.239498	0.398711	4.385822	-0.009854
496380.317552	2.130193	-99.707031	-150.292969
496380.319555	0.399654	-99.707031	-150.292969
496380.321557	0.398601	4.384607	0.012712
496381.333579	0.398904	383.300781	90.136719
496381.335581	0.400132	4.401454	-0.011970
496382.411082	1.882608	-98.730469	-145.800781
496382.416321	0.401657	-98.730469	-145.800781
496382.418322	0.400624	4.406861	0.003710
496383.397277	1.324030	364.257812	95.507812
496383.399275	0.400106	364.257812	95.507812
496383.401276	0.398979	4.388772	-0.002590
496384.479316	0.398672	-101.269531	-149.023437
496384.481317	0.399995	4.399948	0.012640
496385.495351	0.400948	370.800781	94.238281
496385.497352	0.400243	4.402669	-0.013064
496386.578304	0.400275	-100.683594	-149.121094
496386.580308	0.399390	4.393292	0.004800
496387.558865	0.370990	337.109375	101.562500
496387.560867	0.399627	337.109375	101.562500
496387.562867	0.398466	4.383128	-0.005546
496388.641467	0.401859	-105.761719	-162.207031
496388.643469	0.400467	4.405132	0.146473
496389.663511	0.397944	365.332031	95.898437
496389.665515	0.397569	4.373263	0.358566
496390.737533	0.382793	-102.734375	-168.652344
496390.739535	0.399761	-102.734375	-168.652344
496390.741535	0.398719	4.385910	0.006051
496391.721551	0.400367	303.808594	120.214844
496391.725548	0.398150	4.379653	-0.003641
496392.802145	0.393408	-103.320312	-186.914062
496392.804146	0.400032	-103.320312	-186.914062
496392.806147	0.399014	4.389154	0.010136
496393.818121	0.397408	305.078125	122.460937
496393.820122	0.400028	4.400303	-0.004517
496394.902113	0.399754	-88.085937	-163.378906
496394.904115	0.398962	4.388578	0.131405
496395.914635	0.366580	285.156250	125.488281
496395.916637	0.399665	285.156250	125.488281
496395.918635	0.398478	4.383260	0.002185
496396.963212	0.366879	-91.699219	-167.773437
496396.965213	0.399969	-91.699219	-167.773437
496396.967214	0.398766	4.386424	-0.008196
496398.013203	0.401235	316.406250	109.375000
496398.015204	0.399833	4.398158	-0.002554
496399.027737	0.377099	-97.753906	-157.421875
496399.029739	0.399793	-97.753906	-157.421875
496399.031741	0.398715	4.385866	0.003201
496400.075787	0.327821	345.996094	97.460937
496400.077788	0.399981	345.996094	97.460937
496400.079789	0.398661	4.385272	0.001870
496401.125835	0.402977	-100.195312	-142.871094
496401.129836	0.401050	4.411549	0.006269
496402.145887	0.399794	335.156250	97.363281
496402.147888	0.399305	4.392353	0.177672
496403.222870	0.400136	-101.660156	-145.312500
496403.224872	0.399195	4.391148	0.012201
496404.239787	0.399625	362.011719	98.437500
496404.241789	0.398461	4.383066	-0.014640
496405.320370	0.401238	-101.074219	-159.472656
496405.322373	0.399819	4.398007	0.004505
496406.302886	0.399730	301.464844	122.265625
496406.304886	0.399932	4.399248	-0.009852
496407.384889	0.400172	-97.949219	-172.070312
496407.386891	0.398732	4.386052	0.007359
496408.400937	0.400198	288.183594	127.832031
496408.402940	0.398917	288.183594	127.832031
496408.404939	0.398171	4.379884	-0.003468
496409.448980	0.402063	-93.847656	-173.632812
496409.450984	0.400741	4.408154	0.029503
496410.497004	0.396906	288.671875	122.363281
496410.499005	0.400239	288.671875	122.363281
496410.501006	0.399249	4.391742	0.001077
496411.545081	0.374428	-87.695312	-153.710937
496411.547083	0.400111	-87.695312	-153.710937
496411.549083	0.398972	4.388693	-0.007214
496412.561098	0.386463	262.792969	120.214844
496412.565098	0.398910	262.792969	120.214844
496412.567100	0.398333	4.381665	0.016509
496413.611151	0.400402	-96.386719	-158.593750
496413.613154	0.399163	4.390793	-0.003138
496414.659242	0.400663	321.875000	105.371094
496414.663244	0.398453	4.382986	0.150502
496415.709299	0.401577	-96.093750	-145.507812
496415.711302	0.400713	4.407845	-0.005448
496416.723853	0.400339	285.546875	106.933594
496416.725855	0.398988	4.388870	0.008545
496417.772386	0.401707	-106.933594	-158.398437
496417.776387	0.399746	4.397201	0.314914
496418.821336	0.400346	329.394531	100.585937
496418.823336	0.399142	4.390563	-0.000366
496419.867876	0.352456	-99.511719	-143.554687
496419.869877	0.400237	-99.511719	-143.554687
496419.871877	0.399066	4.389730	0.000489
496420.883948	0.374734	296.582031	105.175781
496420.885950	0.400784	296.582031	105.175781
496420.889947	0.398970	4.388675	0.010379
496421.932489	0.371985	-102.734375	-150.878906
496421.936488	0.399202	-102.734375	-150.878906
496421.938490	0.398482	4.383305	0.011200
496422.980493	0.312400	325.097656	103.027344
496422.984493	0.398738	325.097656	103.027344
496422.986495	0.397976	4.377739	0.004303
496424.030538	0.400472	-97.265625	-147.265625
