crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	16.317225	592	1314103168.000000
281474976710655.000000	16.240925	593	1315118336.000000
281474976710655.000000	16.084002	594	1316175744.000000
281474976710655.000000	15.518690	595	1317201024.000000
281474976710655.000000	16.260527	596	1318247424.000000
281474976710655.000000	16.604332	597	1319280256.000000
281474976710655.000000	16.166880	598	1320322944.000000
281474976710655.000000	15.785101	599	1321352960.000000
281474976710655.000000	16.675417	600	1322403328.000000
281474976710655.000000	16.501495	601	1323424768.000000
281474976710655.000000	15.287048	602	1324484480.000000
281474976710655.000000	15.531196	603	1325501568.000000
281474976710655.000000	15.818670	604	1326560384.000000
281474976710655.000000	15.198128	605	1327576960.000000
281474976710655.000000	16.405811	606	1328636672.000000
281474976710655.000000	16.817390	607	1329652224.000000
281474976710655.000000	15.112065	608	1330713728.000000
281474976710655.000000	16.231987	609	1331731072.000000
281474976710655.000000	16.185717	610	1332788608.000000
281474976710655.000000	15.232251	611	1333805696.000000
281474976710655.000000	15.439282	612	1334866176.000000
281474976710655.000000	15.328673	613	1335883264.000000
281474976710655.000000	16.506508	614	1336940928.000000
281474976710655.000000	15.756295	615	1337960448.000000
281474976710655.000000	16.039026	616	1339015040.000000
281474976710655.000000	15.427286	617	1340042752.000000
281474976710655.000000	16.202971	618	1341086080.000000
281474976710655.000000	15.125687	619	1342120448.000000
281474976710655.000000	15.512826	620	1343164288.000000
281474976710655.000000	16.296011	621	1344194304.000000
281474976710655.000000	14.931930	622	1345244160.000000
281474976710655.000000	15.136788	623	1346264832.000000
281474976710655.000000	15.731033	624	1347325824.000000
281474976710655.000000	16.261169	625	1348341504.000000
281474976710655.000000	15.542787	626	1349397120.000000
281474976710655.000000	15.308006	627	1350425216.000000
281474976710655.000000	15.959634	628	1351467264.000000
281474976710655.000000	15.658472	629	1352502784.000000
281474976710655.000000	15.476412	630	1353547648.000000
281474976710655.000000	16.375288	631	1354573184.000000
281474976710655.000000	15.321177	632	1355629312.000000
281474976710655.000000	15.165820	633	1356646144.000000
281474976710655.000000	15.729634	634	1357705984.000000
281474976710655.000000	15.364085	635	1358726272.000000
281474976710655.000000	15.856314	636	1359775872.000000
281474976710655.000000	15.058747	637	1360808576.000000
281474976710655.000000	15.622087	638	1361849984.000000
281474976710655.000000	15.265791	639	1362884736.000000
281474976710655.000000	15.020864	640	1363928832.000000
281474976710655.000000	15.473978	641	1364957952.000000
281474976710655.000000	15.325707	642	1366008064.000000
281474976710655.000000	15.205293	643	1367030912.000000
281474976710655.000000	15.299878	644	1368087296.000000
281474976710655.000000	15.647309	645	1369106176.000000
281474976710655.000000	15.529160	646	1370164224.000000
281474976710655.000000	15.355649	647	1371181824.000000
281474976710655.000000	15.284501	648	1372240768.000000
281474976710655.000000	15.488516	649	1373258880.000000
281474976710655.000000	15.313765	650	1374316800.000000
281474976710655.000000	15.009503	651	1375335552.000000
281474976710655.000000	15.270415	652	1376393344.000000
281474976710655.000000	15.050062	653	1377411840.000000
281474976710655.000000	15.563270	654	1378469376.000000
281474976710655.000000	15.378847	655	1379488640.000000
281474976710655.000000	14.936534	656	1380544512.000000
281474976710655.000000	15.051926	657	1381566848.000000
281474976710655.000000	15.277735	658	1382618368.000000
281474976710655.000000	14.972590	659	1383646720.000000
281474976710655.000000	15.092728	660	1384691584.000000
281474976710655.000000	14.903249	661	1385725696.000000
281474976710655.000000	15.273593	662	1386766464.000000
281474976710655.000000	15.081196	663	1387800960.000000
281474976710655.000000	14.960898	664	1388845568.000000
281474976710655.000000	14.571977	665	1389873152.000000
281474976710655.000000	14.985958	666	1390927104.000000
281474976710655.000000	14.592736	667	1391946240.000000
281474976710655.000000	15.253313	668	1393004928.000000
281474976710655.000000	14.960220	669	1394023168.000000
281474976710655.000000	14.753111	670	1395077504.000000
281474976710655.000000	15.219951	671	1396104704.000000
281474976710655.000000	14.492325	672	1397149056.000000
281474976710655.000000	14.754187	673	1398184320.000000
281474976710655.000000	14.807751	674	1399224704.000000
281474976710655.000000	14.780774	675	1400258560.000000
281474976710655.000000	14.606327	676	1401304320.000000
281474976710655.000000	14.322025	677	1402330752.000000
281474976710655.000000	14.640134	678	1403385088.000000
281474976710655.000000	14.244025	679	1404404352.000000
281474976710655.000000	14.216550	680	1405463040.000000
281474976710655.000000	15.175513	681	1406480512.000000
281474976710655.000000	14.189712	682	1407538176.000000
281474976710655.000000	15.140683	683	1408558336.000000
281474976710655.000000	14.444848	684	1409612032.000000
281474976710655.000000	14.782866	685	1410636800.000000
281474976710655.000000	14.738920	686	1411686656.000000
281474976710655.000000	14.622552	687	1412714752.000000
281474976710655.000000	14.361968	688	1413761792.000000
281474976710655.000000	14.185459	689	1414791808.000000
281474976710655.000000	14.186274	690	1415837952.000000
281474976710655.000000	14.466711	691	1416868096.000000
281474976710655.000000	14.313286	692	1417914624.000000
281474976710655.000000	14.661649	693	1418943616.000000
281474976710655.000000	13.903198	694	1419991552.000000
281474976710655.000000	14.296547	695	1421018752.000000
281474976710655.000000	14.082459	696	1422069376.000000
281474976710655.000000	14.294371	697	1423092992.000000
281474976710655.000000	14.503529	698	1424147712.000000
281474976710655.000000	14.176449	699	1425167488.000000
281474976710655.000000	14.413342	700	1426226048.000000
281474976710655.000000	14.049719	701	1427243008.000000
281474976710655.000000	14.339570	702	1428301824.000000
281474976710655.000000	14.460181	703	1429320832.000000
281474976710655.000000	14.351974	704	1430375168.000000
281474976710655.000000	14.210406	705	1431400320.000000
281474976710655.000000	14.185852	706	1432447744.000000
281474976710655.000000	14.033517	707	1433480576.000000
281474976710655.000000	14.148971	708	1434521472.000000
281474976710655.000000	14.007979	709	1435558144.000000
281474976710655.000000	14.164592	710	1436598912.000000
281474976710655.000000	14.366357	711	1437631104.000000
281474976710655.000000	13.827392	712	1438679040.000000
281474976710655.000000	14.522060	713	1439703040.000000
281474976710655.000000	13.547495	714	1440759424.000000
281474976710655.000000	14.011373	715	1441776256.000000
281474976710655.000000	13.897669	716	1442836992.000000
281474976710655.000000	13.750683	717	1443854208.000000
281474976710655.000000	14.216327	718	1444910592.000000
281474976710655.000000	13.950544	719	1445933056.000000
281474976710655.000000	13.675914	720	1446983808.000000
281474976710655.000000	13.632051	721	1448012032.000000
281474976710655.000000	13.929799	722	1449057152.000000
281474976710655.000000	14.090664	723	1450090496.000000
281474976710655.000000	13.904408	724	1451132288.000000
281474976710655.000000	13.566274	725	1452167808.000000
281474976710655.000000	14.135707	726	1453208704.000000
281474976710655.000000	14.264956	727	1454243712.000000
281474976710655.000000	13.240553	728	1455284480.000000
281474976710655.000000	13.890661	729	1456320512.000000
281474976710655.000000	14.037232	730	1457361024.000000
281474976710655.000000	13.598923	731	1458396928.000000
281474976710655.000000	13.916417	732	1459437056.000000
281474976710655.000000	13.469205	733	1460473344.000000
281474976710655.000000	13.662711	734	1461513472.000000
281474976710655.000000	13.913905	735	1462549248.000000
281474976710655.000000	13.473989	736	1463589504.000000
281474976710655.000000	13.763681	737	1464625280.000000
281474976710655.000000	13.120386	738	1465666560.000000
281474976710655.000000	13.807521	739	1466700416.000000
281474976710655.000000	13.837559	740	1467743744.000000
281474976710655.000000	13.626201	741	1468774528.000000
281474976710655.000000	13.627039	742	1469822848.000000
281474976710655.000000	13.383981	743	1470848384.000000
281474976710655.000000	13.535151	744	1471901696.000000
281474976710655.000000	13.350488	745	1472922112.000000
281474976710655.000000	13.810050	746	1473980032.000000
281474976710655.000000	13.618851	747	1474997632.000000
281474976710655.000000	13.174224	748	1476056192.000000
281474976710655.000000	13.297874	749	1477074560.000000
281474976710655.000000	13.623220	750	1478129920.000000
281474976710655.000000	13.483338	751	1479154176.000000
281474976710655.000000	13.150895	752	1480202496.000000
281474976710655.000000	13.630548	753	1481234048.000000
281474976710655.000000	13.169138	754	1482276224.000000
281474976710655.000000	13.499743	755	1483312128.000000
281474976710655.000000	12.926958	756	1484351616.000000
281474976710655.000000	13.315911	757	1485387392.000000
281474976710655.000000	13.164947	758	1486429184.000000
281474976710655.000000	13.176052	759	1487461632.000000
281474976710655.000000	13.062321	760	1488507648.000000
281474976710655.000000	12.928765	761	1489535616.000000
281474976710655.000000	12.960160	762	1490586368.000000
281474976710655.000000	13.325745	763	1491609472.000000
281474976710655.000000	13.175156	764	1492664704.000000
281474976710655.000000	12.815448	765	1493684224.000000
281474976710655.000000	13.262832	766	1494741760.000000
281474976710655.000000	13.322597	767	1495760256.000000
281474976710655.000000	12.747754	768	1496818304.000000
281474976710655.000000	13.086355	769	1497836160.000000
281474976710655.000000	13.157440	770	1498894848.000000
