time (s)	det(V)
1830.228996	-0.005578	
1830.230998	-0.005948	
1830.232999	-0.006243	
1830.237000	-0.006007	
1830.239002	-0.004842	
1830.241001	-0.004219	
1830.243000	-0.004252	
1830.245001	-0.004293	
1830.248998	-0.003509	
1830.251000	-0.004745	
1830.253000	-0.004606	
1830.257000	-0.004621	
1830.259000	-0.003032	
1830.261001	-0.002882	
1830.263001	-0.003003	
1830.265000	-0.002791	
1830.268999	-0.002655	
1830.271001	-0.003658	
1830.273000	-0.003422	
1830.276999	-0.003083	
1830.279000	-0.001989	
1830.281001	-0.001636	
1830.296934	0.000160	
1830.298935	0.000052	
1830.302934	0.000042	
1830.304938	0.001005	
1830.306935	0.001214	
1830.308936	0.001449	
1830.310935	0.001400	
1830.314932	0.001603	
1830.316936	0.000320	
1830.318938	0.000881	
1830.322943	0.000555	
1830.324944	0.001522	
1830.326943	0.002100	
1830.328943	0.002051	
1830.330943	0.002146	
1830.334941	0.002261	
1830.336944	0.001487	
1830.338942	0.001047	
1830.342943	0.001594	
1830.344944	0.002425	
1830.346944	0.002779	
1830.348944	0.002859	
1830.350944	0.002008	
1830.354941	0.002933	
1830.356944	0.002050	
1830.358942	0.002656	
1830.362942	0.002424	
1830.364944	0.003381	
1830.366944	0.003137	
1830.368943	0.003646	
1830.370944	0.003264	
1830.374941	0.002241	
1830.376944	0.002226	
1830.378944	0.002957	
1830.382943	0.002929	
1830.384944	0.004094	
1830.386941	0.004697	
1830.388942	0.004460	
1830.390943	0.004708	
1830.394940	0.004045	
1830.396943	0.003986	
1830.398942	0.003945	
1830.402942	0.003918	
1830.404944	0.005134	
1830.406948	0.003627	
1830.408952	0.005733	
1830.410952	0.005678	
1830.414949	0.005126	
1830.416952	0.003492	
1830.418951	0.004777	
1830.422950	0.005376	
1830.424951	0.005209	
1830.426950	0.005236	
1830.428952	0.005594	
1830.430952	0.006071	
1830.432952	0.004854	
1830.434952	0.004749	
1830.436952	0.004147	
1830.438956	0.005326	
1830.442965	0.004877	
1830.444966	0.004912	
1830.446965	0.005540	
1830.448966	0.005760	
1830.450966	0.005612	
1830.452966	0.006162	
1830.454966	0.005578	
1830.458963	0.006991	
1830.462963	0.005695	
1830.464966	0.005182	
1830.466968	0.004962	
1830.468965	0.006642	
1830.470968	0.006175	
1830.472968	0.005884	
1830.474967	0.006450	
1830.478966	0.006777	
1830.482965	0.005416	
1830.484967	0.006508	
1830.486967	0.007037	
1830.488967	0.006703	
1830.490967	0.007263	
1830.492968	0.007809	
1830.494974	0.007825	
1830.496978	0.006618	
1830.498976	0.007304	
1830.502978	0.005648	
1830.504978	0.007274	
1830.506978	0.008389	
1830.508977	0.007728	
1830.510978	0.008382	
1830.512979	0.007158	
1830.514977	0.008331	
1830.516978	0.008132	
1830.518978	0.008173	
1830.522987	0.007128	
1830.524988	0.008273	
